Salary_mean,Salary_min,Salary_max,Rating,Size_mean,Job_type
162.0,121.0,203.0,4.0,3000.0,other
68.5,52.0,85.0,3.5,3000.0,other
110.5,81.0,140.0,3.4,10000.0,scientist
81.0,63.0,99.0,3.7,10000.0,scientist
130.0,110.0,150.0,4.3,3000.0,scientist
115.5,83.0,148.0,3.7,350.0,other
80.5,60.0,101.0,3.8,3000.0,scientist
43.0,31.0,55.0,4.6,750.0,analyst
140.0,102.0,178.0,4.4,350.0,scientist
66.5,48.0,85.0,3.0,7500.0,analyst
94.5,66.0,123.0,4.7,125.0,other
119.0,92.0,146.0,3.8,3000.0,scientist
25.0,21.0,29.0,3.2,10000.0,scientist
13.5,10.0,17.0,2.7,7500.0,analyst
194.5,150.0,239.0,3.3,10000.0,other
71.5,52.0,91.0,3.9,3000.0,scientist
105.5,82.0,129.0,3.7,750.0,scientist
74.0,47.0,101.0,3.1,7500.0,scientist
62.5,49.0,76.0,3.7,10000.0,analyst
65.5,43.0,88.0,4.3,3000.0,scientist
161.5,124.0,199.0,3.6,3000.0,other
72.5,52.0,93.0,2.1,3000.0,analyst
139.0,97.0,181.0,3.9,125.0,other
136.5,100.0,173.0,3.9,350.0,other
74.5,53.0,96.0,3.8,3000.0,scientist
80.5,65.0,96.0,3.1,7500.0,scientist
75.5,56.0,95.0,3.5,7500.0,scientist
143.5,111.0,176.0,4.7,125.0,scientist
101.0,75.0,127.0,5.0,125.0,scientist
92.0,65.0,119.0,3.6,7500.0,other
76.5,56.0,97.0,3.8,3000.0,scientist
140.5,108.0,173.0,4.7,125.0,scientist
116.5,94.0,139.0,3.6,10000.0,scientist
232.5,176.0,289.0,4.7,750.0,scientist
120.5,92.0,149.0,3.5,125.0,scientist
82.0,63.0,101.0,3.5,3000.0,other
84.5,54.0,115.0,3.3,10000.0,scientist
153.0,118.0,188.0,2.7,10000.0,scientist
127.0,108.0,146.0,3.4,750.0,scientist
85.5,65.0,106.0,4.7,125.0,scientist
76.5,55.0,98.0,2.8,3000.0,scientist
128.0,94.0,162.0,3.5,3000.0,scientist
91.5,63.0,120.0,3.2,25.0,other
134.5,90.0,179.0,4.4,350.0,scientist
164.5,127.0,202.0,3.3,350.0,scientist
93.5,60.0,127.0,4.0,125.0,other
44.0,31.0,57.0,3.4,350.0,analyst
149.5,105.0,194.0,3.8,750.0,other
65.5,45.0,86.0,3.5,3000.0,other
109.0,75.0,143.0,4.4,25.0,other
177.0,126.0,228.0,3.7,3000.0,other
107.0,80.0,134.0,4.7,350.0,scientist
154.5,120.0,189.0,4.1,750.0,scientist
113.5,85.0,142.0,4.0,25.0,scientist
124.5,95.0,154.0,3.5,3000.0,scientist
143.5,111.0,176.0,2.5,25.0,scientist
113.5,87.0,140.0,3.9,25.0,scientist
101.5,76.0,127.0,3.4,10000.0,scientist
73.0,54.0,92.0,3.6,10000.0,analyst
80.5,61.0,100.0,3.5,10000.0,scientist
114.0,80.0,148.0,2.9,125.0,other
139.5,108.0,171.0,3.5,125.0,scientist
145.5,112.0,179.0,4.8,25.0,scientist
87.0,63.0,111.0,4.0,350.0,scientist
100.5,75.0,126.0,4.2,350.0,scientist
147.0,110.0,184.0,3.8,10000.0,scientist
110.5,76.0,145.0,3.7,350.0,other
49.0,36.0,62.0,3.9,750.0,analyst
94.0,70.0,118.0,4.6,125.0,scientist
123.5,94.0,153.0,4.3,3000.0,scientist
84.5,54.0,115.0,3.3,10000.0,scientist
71.0,50.0,92.0,3.7,750.0,analyst
73.0,49.0,97.0,4.0,10000.0,other
101.0,67.0,135.0,3.6,7500.0,other
181.0,138.0,224.0,3.9,350.0,other
109.5,80.0,139.0,3.7,10000.0,scientist
184.5,158.0,211.0,3.7,10000.0,scientist
165.0,150.0,180.0,3.9,350.0,scientist
61.0,42.0,80.0,3.7,10000.0,analyst
205.0,190.0,220.0,4.1,125.0,other
59.5,42.0,77.0,3.1,3000.0,analyst
103.5,68.0,139.0,3.1,7500.0,scientist
62.5,54.0,71.0,3.0,10000.0,other
63.0,34.0,92.0,3.6,7500.0,other
66.0,47.0,85.0,3.6,25.0,analyst
94.5,65.0,124.0,3.5,750.0,other
75.5,56.0,95.0,4.2,125.0,scientist
87.0,62.0,112.0,4.0,750.0,other
140.0,107.0,173.0,3.9,10000.0,scientist
86.0,64.0,108.0,3.7,350.0,scientist
116.5,89.0,144.0,4.4,25.0,scientist
154.5,109.0,200.0,3.5,3000.0,scientist
87.0,61.0,113.0,3.7,750.0,other
48.5,35.0,62.0,3.6,3000.0,analyst
80.0,55.0,105.0,3.4,750.0,other
21.5,18.0,25.0,4.0,3000.0,scientist
52.5,39.0,66.0,2.4,750.0,scientist
173.0,135.0,211.0,3.7,10000.0,scientist
68.5,57.0,80.0,3.5,750.0,other
172.0,129.0,215.0,4.4,3000.0,scientist
114.5,86.0,143.0,3.3,10000.0,scientist
95.0,63.0,127.0,3.9,10000.0,scientist
69.5,50.0,89.0,3.2,7500.0,scientist
64.5,43.0,86.0,3.2,750.0,other
111.5,74.0,149.0,2.1,350.0,scientist
97.5,71.0,124.0,4.0,750.0,scientist
154.5,113.0,196.0,3.7,10000.0,other
124.0,81.0,167.0,2.6,750.0,scientist
95.0,69.0,121.0,3.4,350.0,scientist
128.5,97.0,160.0,4.4,350.0,scientist
194.0,150.0,238.0,3.2,750.0,scientist
104.5,77.0,132.0,3.5,350.0,scientist
31.5,24.0,39.0,3.7,750.0,scientist
85.5,59.0,112.0,4.2,350.0,other
50.0,35.0,65.0,4.2,10000.0,analyst
113.0,79.0,147.0,3.1,3000.0,other
90.5,62.0,119.0,3.9,10000.0,scientist
153.0,119.0,187.0,4.3,125.0,scientist
123.5,90.0,157.0,3.3,3000.0,analyst
47.0,32.0,62.0,3.9,350.0,analyst
64.0,42.0,86.0,3.5,750.0,other
162.0,116.0,208.0,4.0,10000.0,other
137.0,102.0,172.0,3.9,10000.0,scientist
98.0,69.0,127.0,3.0,10000.0,other
115.0,86.0,144.0,3.7,10000.0,scientist
133.5,102.0,165.0,3.5,7500.0,scientist
99.0,74.0,124.0,4.0,750.0,other
54.0,40.0,68.0,3.3,750.0,scientist
109.0,76.0,142.0,3.2,3000.0,other
109.0,76.0,142.0,3.4,350.0,other
139.5,108.0,171.0,4.4,3000.0,scientist
254.0,202.0,306.0,3.3,10000.0,other
125.0,91.0,159.0,3.2,3000.0,other
106.5,80.0,133.0,3.8,10000.0,other
73.0,49.0,97.0,2.9,350.0,scientist
81.0,49.0,113.0,2.7,350.0,scientist
27.5,21.0,34.0,3.6,3000.0,scientist
99.5,65.0,134.0,3.1,7500.0,scientist
45.5,32.0,59.0,3.3,750.0,analyst
54.0,39.0,69.0,3.7,7500.0,analyst
122.5,87.0,158.0,4.5,125.0,other
37.5,27.0,48.0,3.0,3000.0,analyst
53.5,36.0,71.0,3.8,3000.0,analyst
140.0,107.0,173.0,3.9,7500.0,scientist
77.5,56.0,99.0,3.2,7500.0,other
117.5,80.0,155.0,3.1,7500.0,scientist
70.5,43.0,98.0,2.4,750.0,scientist
70.0,44.0,96.0,2.9,3000.0,scientist
61.5,45.0,78.0,4.8,125.0,other
80.0,50.0,110.0,2.9,3000.0,scientist
79.5,60.0,99.0,4.7,125.0,scientist
168.0,130.0,206.0,4.7,750.0,scientist
90.0,61.0,119.0,3.4,3000.0,other
138.5,99.0,178.0,3.9,125.0,analyst
111.5,86.0,137.0,3.6,10000.0,other
68.5,37.0,100.0,3.6,7500.0,other
84.5,58.0,111.0,3.9,10000.0,scientist
102.5,72.0,133.0,4.4,3000.0,other
73.5,56.0,91.0,2.6,750.0,scientist
93.5,61.0,126.0,3.6,750.0,scientist
127.5,95.0,160.0,3.2,25.0,other
72.0,53.0,91.0,4.2,10000.0,analyst
129.5,101.0,158.0,3.6,7500.0,other
47.0,33.0,61.0,3.1,3000.0,analyst
65.0,44.0,86.0,3.8,750.0,other
60.0,43.0,77.0,3.8,3000.0,analyst
167.5,125.0,210.0,4.0,10000.0,scientist
65.0,44.0,86.0,3.8,3000.0,analyst
94.0,69.0,119.0,4.0,750.0,analyst
87.5,65.0,110.0,1.9,350.0,analyst
97.0,67.0,127.0,4.0,750.0,other
112.5,78.0,147.0,4.3,7500.0,other
91.5,66.0,117.0,3.6,7500.0,other
51.5,37.0,66.0,3.3,10000.0,other
114.5,86.0,143.0,3.8,10000.0,scientist
115.0,84.0,146.0,4.3,350.0,scientist
74.0,50.0,98.0,3.2,25.0,other
51.0,38.0,64.0,4.7,125.0,scientist
100.0,90.0,110.0,3.4,750.0,other
121.0,92.0,150.0,3.8,10000.0,scientist
121.5,90.0,153.0,4.5,350.0,scientist
62.5,43.0,82.0,3.1,10000.0,other
122.0,93.0,151.0,3.9,350.0,scientist
85.0,61.0,109.0,4.4,125.0,other
60.5,42.0,79.0,3.4,750.0,other
180.0,139.0,221.0,3.9,125.0,scientist
70.5,40.0,101.0,4.7,3000.0,other
118.5,84.0,153.0,3.3,3000.0,other
66.5,52.0,81.0,3.9,750.0,other
107.5,81.0,134.0,3.4,3000.0,scientist
138.5,97.0,180.0,4.7,125.0,other
